TrackId,Name,Composer,Milliseconds,Bytes,UnitPrice,Title,ArtistName,MediaType,Genre,PlaylistName
58,Sunshine,"Jerry Cantrell",284969,9216057,0.99,"Come Taste The Band","Deep Purple","MPEG audio file",Rock,Music
58,Sunshine,"Jerry Cantrell",284969,9216057,0.99,"Come Taste The Band","Deep Purple","MPEG audio file",Rock,"90’s Music"
58,Sunshine,"Jerry Cantrell",284969,9216057,0.99,"Come Taste The Band","Deep Purple","MPEG audio file",Rock,Music
59,"Put You Down","Jerry Cantrell",196231,6420530,0.99,"Deep Purple In Rock",Santana,"MPEG audio file",Rock,Music
59,"Put You Down","Jerry Cantrell",196231,6420530,0.99,"Deep Purple In Rock",Santana,"MPEG audio file",Rock,"90’s Music"
59,"Put You Down","Jerry Cantrell",196231,6420530,0.99,"Deep Purple In Rock",Santana,"MPEG audio file",Rock,Music
60,Confusion,"Jerry Cantrell, Michael Starr, Layne Staley",344163,11183647,0.99,Fireball,"Santana Feat. Dave Matthews","MPEG audio file",Rock,Music
60,Confusion,"Jerry Cantrell, Michael Starr, Layne Staley",344163,11183647,0.99,Fireball,"Santana Feat. Dave Matthews","MPEG audio file",Rock,"90’s Music"
60,Confusion,"Jerry Cantrell, Michael Starr, Layne Staley",344163,11183647,0.99,Fireball,"Santana Feat. Dave Matthews","MPEG audio file",Rock,Music
61,"I Know Somethin (Bout You)","Jerry Cantrell",261955,8497788,0.99,"Knocking at Your Back Door: The Best Of Deep Purple in the 80's","Santana Feat. Everlast","MPEG audio file",Rock,Music
61,"I Know Somethin (Bout You)","Jerry Cantrell",261955,8497788,0.99,"Knocking at Your Back Door: The Best Of Deep Purple in the 80's","Santana Feat. Everlast","MPEG audio file",Rock,"90’s Music"
61,"I Know Somethin (Bout You)","Jerry Cantrell",261955,8497788,0.99,"Knocking at Your Back Door: The Best Of Deep Purple in the 80's","Santana Feat. Everlast","MPEG audio file",Rock,Music
62,"Real Thing","Jerry Cantrell, Layne Staley",243879,7937731,0.99,"Machine Head","Santana Feat. Rob Thomas","MPEG audio file",Rock,Music
62,"Real Thing","Jerry Cantrell, Layne Staley",243879,7937731,0.99,"Machine Head","Santana Feat. Rob Thomas","MPEG audio file",Rock,"90’s Music"
62,"Real Thing","Jerry Cantrell, Layne Staley",243879,7937731,0.99,"Machine Head","Santana Feat. Rob Thomas","MPEG audio file",Rock,Music
